,planet_label,r_x,r_y,r_z
0,0.0,-0.10253804873842484,-0.4544386772736945,-0.027729091086239457
1,0.0,-0.07354342500772981,-0.4595789882490384,-0.030808840395841322
2,0.0,-0.04423704647589993,-0.46238394922514814,-0.03372635134494744
3,0.0,-0.014828713569277757,-0.46284449050463883,-0.036461637612337956
4,0.0,0.014472952011994056,-0.4609754333270289,-0.03899677327875781
5,0.0,0.043463679663709814,-0.45681481092284115,-0.041316128350347245
6,0.0,0.07194653459117978,-0.45042268167015176,-0.043406545564752846
7,0.0,0.0997346271628334,-0.4418794909936081,-0.0452574550631758
8,0.0,0.12665347493920734,-0.43128405485609156,-0.04686092628001588
9,0.0,0.1525429640398359,-0.41875124905938815,-0.04821165903925717
10,0.0,0.17725887659419937,-0.4044094947001253,-0.04930691818994219
11,0.0,0.20067397114088262,-0.38839813107581705,-0.05014641803603871
12,0.0,0.22267862171022068,-0.37086476355487574,-0.05073216423810012
13,0.0,0.24318103791053175,-0.3519626661747129,-0.051068261752182355
14,0.0,0.26210710190066433,-0.33184830797479786,-0.05116069773655045
15,0.0,0.27939986826087393,-0.31067905935468604,-0.05101710824670325
16,0.0,0.2950187793679695,-0.28861112110115594,-0.05064653702902245
17,0.0,0.3089386521028144,-0.2657977050827325,-0.05005919390383502
18,0.0,0.32114849193633516,-0.2423874827330471,-0.049266219196436006
19,0.0,0.33165018815733543,-0.2185233059140851,-0.04827945952298986
20,0.0,0.340457139793341,-0.19434119494513302,-0.04711125905060529
21,0.0,0.3475928562161946,-0.1699695806957362,-0.04577426919636271
22,0.0,0.3530895700632015,-0.1455287817039192,-0.04428127866142723
23,0.0,0.3569868934205659,-0.12113069320081551,-0.04264506474983512
24,0.0,0.35933054160091693,-0.09687866251636085,-0.04087826611809636
25,0.0,0.36017114260053534,-0.07286752436870861,-0.03899327644936178
26,0.0,0.35956314465393646,-0.04918376973786362,-0.03700215804214126
27,0.0,0.3575638293420219,-0.025905823125041277,-0.0349165739384137
28,0.0,0.3542324335147022,-0.0031044047526890828,-0.032747736974412564
29,0.0,0.34962937986493825,0.019157043557608694,-0.03050637400161719
30,0.0,0.3438156133034393,0.04082188767090561,-0.02820270347678578
31,0.0,0.33685203826926297,0.06183980192387814,-0.025846424639904688
32,0.0,0.32879905069238197,0.08216625527294275,-0.023446716570716064
33,0.0,0.31971615741350196,0.10176199431948847,-0.021012245522967293
34,0.0,0.30966167537692224,0.12059253255737303,-0.01855117906785312
35,0.0,0.29869250276092324,0.13862765323628307,-0.016071205723714628
36,0.0,0.28686395432116796,0.15584093151803285,-0.013579558899509805
37,0.0,0.27422965352890233,0.17220928012484382,-0.011083044128446434
38,0.0,0.26084147452997886,0.18771252143237366,-0.008588068710759284
39,0.0,0.2467495274851032,0.2023329879319029,-0.006100673017666132
40,0.0,0.23200218143739298,0.21605515215748677,-0.0036265628299727553
41,0.0,0.2166461194596762,0.22886528652456473,-0.0011711421934768895
42,0.0,0.20072642143730168,0.24075115303532807,0.001260453631195384
43,0.0,0.18428667042497535,0.2517017224522977,0.0036633254643167294
44,0.0,0.16736907906555296,0.26170692230548454,0.00603277801865505
45,0.0,0.15001463306601653,0.2707574129622165,0.008364288439573559
46,0.0,0.13226324918528665,0.27884439093614877,0.010653475739829464
47,0.0,0.11415394559657431,0.2859594186289754,0.012896071259224831
48,0.0,0.09572502284172027,0.29209427977270447,0.015087890252797076
49,0.0,0.0770142538955558,0.29724085996152094,0.017224804693564702
50,0.0,0.058059082104398654,0.30139105182131365,0.019302717366267607
51,0.0,0.03889682595431149,0.3045366845542241,0.02131753732644113
52,0.0,0.01956488976149684,0.3066694778084629,0.023265156804015436
53,0.0,0.00010097945871637148,0.30778102005426744,0.025141429642000633
54,0.0,-0.01945667732304518,0.30786277188981037,0.026942151378345783
55,0.0,-0.03906910771076255,0.3069060949507634,0.028663041102444754
56,0.0,-0.05869636750858148,0.3049023073486054,0.03029972524675134
57,0.0,-0.07829731365976196,0.30184276680951794,0.03184772350830439
